,Año,Trimestre,Banda ancha fija,Dial up,Mbps (Media de bajada),Trimestre.1,Provincia_x,Hasta 512 kbps,Entre 512 Kbps y 1 Mbps,Entre 1 Mbps y 6 Mbps,Entre 6 Mbps y 10 Mbps,Entre 10 Mbps y 20 Mbps,Entre 20 Mbps y 30 Mbps,Mas de 30 Mbps,Otros Mbps,Ingresos (miles de pesos),Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otras conexiones,Total Mbps-conexiones
65,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,San Juan,12669,18543,44904,23594,6956,106666
66,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,San Luis,4038,41260,31539,78954,299,156090
67,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,Santa Cruz,7768,14435,49545,7799,661,80208
68,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,Santa Fe,86548,399817,374288,44162,13773,918588
69,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,Santiago Del Estero,6644,80722,27018,7058,2920,124362
70,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,Tierra Del Fuego,9357,48005,3684,177,332,61555
71,2024,1,11621363,11793,139.15,Ene-Mar 2024,Catamarca,71.0,176.0,2872.0,3424.0,4204.0,1822.0,62294.0,70.0,280419124,Tucumán,33682,20361,205959,4075,518,264595
72,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Buenos Aires,203297,2790663,1799013,150290,101294,5044557
73,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Capital Federal,70108,1177475,203756,4493,48879,1504711
74,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Catamarca,5901,11025,56542,1384,81,74933
75,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Chaco,11343,58929,64463,8404,12404,155543
76,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Chubut,26306,77217,26356,30867,9930,170676
77,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Córdoba,102812,449784,458985,61121,9497,1082199
78,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Corrientes,18390,85595,38268,10409,5232,157894
79,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Entre Ríos,36574,158283,66180,23950,11565,296552
80,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Formosa,9147,18631,17908,16851,181,62718
81,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Jujuy,10554,51093,51084,4106,1216,118053
82,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,La Pampa,6844,59008,35556,19681,1106,122195
83,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,La Rioja,2827,55443,23086,6396,30,87782
84,2024,1,11621363,11793,139.15,Ene-Mar 2024,Chaco,236.0,416.0,14156.0,9044.0,5533.0,5718.0,116624.0,3816.0,280419124,Mendoza,17674,70932,185460,27606,925,302597
